##SYN
	29	0	0	
00074092	4	0	0	a slip-up that (according to Sigmund Freud) results from the operation of unconscious wishes or conflicts and can reveal unconscious processes in normal healthy individuals
00074324	4	0	0	(sport) the mistake of occupying an illegal position on the playing field (in football, soccer, ice hockey, field hockey, etc.)
00074524	4	0	0	a mistake resulting from inattention
00074624	4	0	0	a mistake resulting from neglect
00074790	4	0	0	an embarrassing mistake
00075283	4	0	0	an acronym often used by soldiers in World War II: situation normal all fucked up
00075471	4	0	0	a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself
00075618	4	0	0	something badly botched or muddled
00075790	4	0	0	a serious and ludicrous blunder; 'he made a bad bull of the assignment'
00075912	4	0	0	(sports) dropping the ball
00076072	4	0	0	a blunder (especially an actor's forgetting the lines)
00076196	4	0	0	a socially awkward or tactless act
00076323	4	0	0	a glaring blunder
00076393	4	0	0	a conspicuous mistake whose effects seem to reverberate; 'he dropped a clanger'
00076563	4	0	0	an unintentional but embarrassing blunder; 'he recited the whole poem without a single trip'; 'he arranged his robes to avoid a trip-up later'; 'confusion caused his unfortunate misstep'
00076884	4	0	0	a sudden drop from an upright position; 'he had a nasty spill on the ice'
00077169	4	0	0	a fall onto your buttocks
00077249	4	0	0	a spill in some sport (as a fall from a bicycle or while skiing or being capsized on a surfboard)
00077419	4	0	0	the act of contracting or assuming or acquiring possession of something; 'the acquisition of wealth'; 'the acquisition of one company by another'
00077856	4	0	0	the act of obtaining
00077981	4	0	0	becoming infected; 'catching cold is sometimes unavoidable'; 'the contracting of a serious illness can be financially catastrophic'
00078217	4	0	0	acquiring or coming into something (usually undesirable); 'incurring debts is easier than paying them'
00078393	4	0	0	the act of making money (and accumulating wealth)
00078536	4	0	0	the formal act of acquiring something (especially territory) by conquest or occupation; 'the French annexation of Madagascar as a colony in 1896'; 'a protectorate has frequently been a first step to annexation'
00078821	4	0	0	acquisition of government money for benefits to a specific locale; 'keeps his hold on his constituents through unashamed pork-barreling'
00079018	4	0	0	the acquisition of something for payment; 'they closed the purchase with a handshake'
00079212	4	0	0	the act of purchasing back something previously sold
00079398	4	0	0	buying or selling securities or commodities
00079603	4	0	0	trading in bonds (usually by a broker on the floor of an exchange)
00079752	4	0	0	a trading technique involving large blocks of stock with trades triggered by computer programs
00079908	4	0	0	sale of securities or commodity futures not owned by the seller (who hopes to buy them back later at a lower price)
00080096	4	0	0	the purchase of securities or commodities by a short seller to close out a short sale
00080242	4	0	0	buying or selling corporate stock by a corporate officer or other insider on the basis of information that has not been made public and is supposed to remain confidential
00080474	4	0	0	a put or call option for which the seller or buyer has no underlying security position
00080619	4	0	0	a put or call option backed by the shares underlying the option
00080743	4	0	0	the option to buy a given stock (or stock index or commodity future) at a given price before a given date
00080968	4	0	0	the option to sell a given stock (or stock index or commodity future) at a given price before a given date
00081174	4	0	0	the option to buy or sell a given stock (or stock index or commodity future) at a given price before a given date; consists of an equal number of put and call options
00081395	4	0	0	an option granted to corporate executives if the company achieves certain financial goals
00081572	4	0	0	the act of buying; 'buying and selling fill their days'; 'shrewd purchasing requires considerable knowledge'
00081836	4	0	0	searching for or buying goods or services; 'went shopping for a reliable plumber'; 'does her shopping at the mall rather than down town'
00082081	4	0	0	shopping at a market; 'does the weekly marketing at the supermarket'
00082223	4	0	0	buying goods to be shipped through the mail
00082347	4	0	0	purchasing insurance policies for cash from terminally ill policy holders
00082525	4	0	0	the act of taking something that is offered; 'her acceptance of the gift encouraged him'; 'he anticipated their acceptance of his offer'
00082754	4	0	0	acquisition of property by descent or by will
