##SYN
	0	
00030463	0	weaken or destroy in spirit or body; 'His resistance was broken'; 'a man broken by the terrible experience of near-death'
00030647	0	collapse due to fatigue, an illness, or a sudden attack
00030853	0	rapidly collapse, die, or drop out in large numbers; 'the contestants dropped like flies when the thermometer hit one hundred degrees'
00031068	0	suffer from sudden painful contraction of a muscle
00031181	0	affect with or as if with a cramp
00031277	0	fall forward and down; 'The old woman went over without a sound'
00031418	0	emit a loud, unpleasant kind of laughing
00031540	0	laugh boisterously
00031663	0	laugh quietly or with restraint
00031820	0	produce laughter
00032297	0	be overcome with laughter
00032414	0	laugh loudly and in an unrestrained way
00032539	0	smile contemptuously; 'she sneered at her little sister's efforts to play the song on the piano'
00032778	0	express through a scornful smile; 'she sneered her contempt'
00032981	0	look angry or sullen, wrinkle one's forehead, as if to signal disapproval
00033203	0	look at with a fixed gaze; 'The girl glared at the man who tried to make a pass at her'
00033406	0	fixate one's eyes; 'The ancestor in the painting is staring down menacingly'
00033599	0	have a certain outward or facial expression; 'How does she look?'; 'The child looks unhappy'; 'She looked pale after the surgery'
00033852	0	frown with displeasure
00033955	0	raise one's shoulders to indicate indifference or resignation
00034115	0	clap one's hands together; 'The children were clapping to the music'
00034288	0	contort the face to indicate a certain mental or emotional state; 'He grimaced when he saw the amount of homework he had to do'
00034634	0	twist into a strained configuration; 'screw up one's face'
00034758	0	make a sad face and thrust out one's lower lip; 'mop and mow'; 'The girl pouted'
00034948	0	free of obstruction by blowing air through; 'blow one's nose'
00035089	0	clear mucus or food from one's throat; 'he cleared his throat before he started to speak'
00035259	0	take a shower; wash one's body in the shower; 'You should shower after vigorous exercise'
00035448	0	bathe with warm water or medicated lotions; 'His legs should be fomented'
00035603	0	cleanse the entire body; 'bathe daily'
00035758	0	clean one's body or parts thereof, as by washing; 'clean up before you see your grandparents'; 'clean your fingernails before dinner'
00036178	0	to cleanse (itself or another animal) by licking; 'The cat washes several times a day'
00036362	0	cleanse (one's body) with soap and water
00036685	0	wash with a sponge
00036780	0	wash thoroughly; 'surgeons must scrub prior to an operation'
00036932	0	rub soap all over, usually with the purpose of cleaning
00037138	0	rinse one's mouth and throat with mouthwash; 'gargle with this liquid'
00037298	0	remove body hair with a razor
00037514	0	remove body hair; 'epilate her legs'
00037680	0	shave with a razor
00037779	0	shave the head of a newly inducted monk
00037919	0	clean one's body by immersion into water; 'The child should bathe every day'
00038199	0	direct a spray of water into a bodily cavity, for cleaning
00038365	0	smoothen and neaten with or as with a comb; 'comb your hair before dinner'; 'comb the wool'
00038687	0	give a smooth and glossy appearance; 'slick one's hair'
00038849	0	arrange attractively; 'dress my hair for the wedding'
00039121	0	cut hair in the style of a bob; 'Bernice bobs her hair these days!'
00039267	0	style women's hair in a pompadour
00039385	0	make a marcel in a woman's hair
00039488	0	set waves in; 'she asked the hairdresser to wave her hair'
00039680	0	make wavy with a heated goffering iron; 'goffer the trim of the dress'
00039824	0	give a permanent wave to; 'She perms her hair'
00039950	0	apply a styling gel to; 'she mousses her hair'
00040084	0	apply pomade to (hair)
00040188	0	ruffle (one's hair) by combing the ends towards the scalp, for a full effect
00040353	0	care for one's external appearance; 'He is always well-groomed'
00040766	0	make oneself clean, presentable or neat; 'Clean up before you go to the party'
00040928	0	apply make-up or cosmetics to one's face to appear prettier; 'She makes herself up every morning'
00041206	0	apply a highlighter to one's cheeks or eyebrows in order to make them more prominent; 'highlight the area above your eyebrows'
00041417	0	apply lipstick to; 'She lipsticked her mouth'
00041554	0	redden by applying rouge to; 'she rouged her cheeks'
00041687	0	apply conditioner to in order to make smooth and shiny; 'I condition my hair after washing it'
00041866	0	use dental floss to clean; 'floss your teeth after every meal'
00042017	0	use shampoo on (hair)
00042173	0	apply powder to; 'She powdered her nose'; 'The King wears a powdered wig'
00042364	0	apply talcum powder to (one's body)
00042479	0	care for (one's hand) by cutting and shaping the nails, etc.
00042641	0	trim carefully and neatly; 'manicure fingernails'
00042792	0	perform the services of a barber: cut the hair and/or beard of
00042936	0	care for one's feet by cutting and shaping the nails, etc.
00043078	0	use special care in dressing, making-up, etc.; 'She dolled herself up for the night out with her friends'
00043278	0	dress and groom with particular care, as for a special occasion; 'He spruced up for the party'
00043480	0	apply perfume to; 'She perfumes herself every day'
00043683	0	dress or groom with elaborate care; 'She likes to dress when going to the opera'
00043912	0	dress up showily; 'He pranked himself out in his best clothes'
00044037	0	dress up in a cheap and provocative way
00044149	0	put on special clothes to appear particularly appealing and attractive; 'She never dresses up, even when she goes to the opera'; 'The young girls were all fancied up for the party'
00044797	0	dress in a certain manner; 'She dresses in the latest Paris fashion'; 'he dressed up in a suit and tie'
00045064	0	adorn with a robe
00045145	0	dress primly
00045240	0	dress up garishly and tastelessly
00045346	0	dress informally and casually; 'On Fridays, employees can underdress'
00045532	0	dress very carefully and in a finicky manner
00045639	0	give a neat appearance to; 'groom the dogs'; 'dress the horses'
00045817	0	take off weight
00046022	0	lose weight by sweating; 'I sweated off 3 pounds in the sauna'
00046151	0	increase (one's body weight); 'She gained 20 pounds when she stopped exercising'
00046382	0	become round, plump, or shapely; 'The young woman is fleshing out'
00046534	0	put on clothes; 'we had to dress quickly'; 'dress the patient'; 'Can the child dress by herself?'
00047032	0	dress warmly; 'Mother bundled up the children for the long way to school'
00047172	0	put on or wear a hat; 'He was unsuitably hatted'
00047317	0	put on a garment in order to see whether it fits and looks nice; 'Try on this sweater to see how it looks'
00047511	0	dress in a bonnet
00047610	0	have or show an appearance of; 'wear one's hair in a certain way'
00047745	0	have on one's person; 'He wore a red ribbon'; 'bear a scar'
00047945	0	provide with clothes or put clothes on; 'Parents must feed and dress their child'
00048633	0	clothe, as if for protection from the elements; 'cover your head!'
00048790	0	put a jacket on; 'The men were jacketed'
00048912	0	put a frock on
00049007	0	put a shirt on
00049102	0	put a habit on
00049197	0	provide or cover with a cloak
00049309	0	dress too warmly; 'You should not overclothe the child--she will be too hot'
00049483	0	dress without sufficient warmth; 'She was underdressed for the hiking trip and suffered hypothermia'
00049669	0	dress with a corset
00049770	0	furnish with shoes; 'the children were well shoed'
00049900	0	get undressed; 'please don't undress in front of everybody!'; 'She strips in front of strangers every night for a living'
00050315	0	take off, as with some difficulty; 'He peeled off his blood-soaked shirt'
00050454	0	remove clothes; 'take off your shirt--it's very hot in here'
00050652	0	put clothing on one's body; 'What should I wear today?'; 'He put on his best suit for the wedding'; 'The princess donned a long blue dress'; 'The queen assumed the stately robes'; 'He got into his jeans'
00051060	0	wrap in or adorn with a scarf
00051170	0	put on with ease or speed; 'slip into something more comfortable after work'; 'slip on one's shoes'
00051370	0	take off with ease or speed; 'She slipped off her jacket'
00051511	0	cover or provide with a coat
00051637	0	dress in the clothes of the other sex
00051761	0	dress in a costume; 'We dressed up for Halloween as pumpkins'
00051942	0	dress like a dandy
00052043	0	clothe formally; especially in ecclesiastical robes
00052253	0	clothe oneself in ecclesiastical garments
00052374	0	be dressed in; 'She was wearing yellow that day'
00052548	0	introduce semen into (a female)
00052845	0	render fertile and preserve by placing between layers of earth or sand; 'stratify seeds'
00053035	0	show signs of life; 'the fetus quickened'
00053159	0	make pregnant; 'He impregnated his wife again'
00053341	0	fertilize and cause to grow; 'the egg was impregnated'
00053517	0	impregnate with the virus or germ of a disease in order to render immune
00053656	0	cause to undergo cross-fertilization; 'Mendel cross-fertilized different kinds of beans'
00053889	0	undergo cross-fertilization; become fertile
00054059	0	fertilize by transfering pollen
00054285	0	become pregnant; undergo conception; 'She cannot conceive'; 'My daughter was conceived in Christmas Day'
00054535	0	mate successfully; of livestock
00054628	0	make children; 'Abraham begot Isaac'; 'Men often father children but don't recognize them'
00055010	0	eject semen
00055142	0	have offspring or produce more individuals of a given animal or plant; 'The Bible tells people to procreate'
00055539	0	multiply sexually or asexually
00055709	0	propagate asexually; 'The bacterial growth vegetated along'
00055871	0	cause to propagate, as by grafting or layering
00056093	0	insert a bud for propagation
00056188	0	bear fruit; 'the apple trees fructify'
00056334	0	have young (animals) or reproduce (organisms); 'pandas rarely breed in captivity'; 'These bacteria reproduce'
00056589	0	breed freely and abundantly
00056683	0	lay spawn; 'The salmon swims upstream to spawn'
00056829	0	spawn; 'oysters spat'
00056930	0	cause to be born; 'My wife had twins yesterday!'
00057410	0	be in confinement for childbirth
00057506	0	undergo the efforts of childbirth
00057665	0	give birth to twins
00057764	0	give birth; used for animals; 'The cow dropped her calf this morning'
00057895	0	give birth to a foal; 'the mare foaled'
00058014	0	give birth to cubs; 'bears cub every year'
00058135	0	have kittens; 'our cat kittened again this year'
00058265	0	give birth to a lamb; 'the ewe lambed'
00058401	0	give birth to a litter of animals
00058516	0	birth; 'the dog whelped'
00058645	0	give birth; 'sows farrow'
00058794	0	have fawns; 'deer fawn'
00058897	0	birth; 'the whales calve at this time of year'
00059019	0	be pregnant with; 'She is bearing his child'; 'The are expecting another child in January'; 'I am carrying his child'
00059376	0	look forward to the birth of a child; 'She is expecting in March'
00059559	0	carry out a pregnancy; 'She decided to carry the child to term, even though the foetus was shown to be defective'
00059769	0	suffer a miscarriage
00059899	0	terminate a pregnancy by undergoing an abortion
00060063	0	cease development, die, and be aborted; 'an aborting fetus'
00060185	0	sit on (eggs); 'Birds brood'; 'The female covers the eggs'
00060477	0	remove the ovaries of; 'Is your cat spayed?'
00060701	0	remove the ovaries of (female mammals such as cats)
00060833	0	remove the testicles of a male animal
00061079	0	convert a cock into a capon
00061219	0	cut off the testicles (of male animals such as horses); 'the vet gelded the young horse'
00061401	0	remove the vas deferens; 'many men choose to be vasectomized as a form of safe birth control'
00061595	0	make infertile; 'in some countries, people with genetically transmissible disabilites are sterilized'
00061933	0	perform cosmetic surgery on someone's face
00062067	0	operate on with a trephine
00062203	0	undergo menstruation; 'She started menstruating at the age of 11'
00062397	0	produce and discharge eggs; 'women ovulate about once every month'
00062582	0	make free from bacteria
00062774	0	disinfect with an antiseptic; 'The animals were antisepticized by the veterinarian before the operation'
00062973	0	subject to the action of an autoclave
00063095	0	emerge from the eggs; 'young birds, fish, and reptiles hatch'
00063291	0	excite to an abnormal condition, or chafe or inflame; 'Aspirin irritates my stomach'
00063557	0	become inflamed; get sore; 'His throat inflamed'
00063724	0	cause inflammation in; 'The repetitive motion inflamed her joint'
00063916	0	cause to feel better; 'the medicine soothes the pain of the inflammation'
00064095	0	provide physical relief, as from pain; 'This pill will relieve your headaches'
00064487	0	give a massage to; 'She massaged his sore back'
00064643	0	give trouble or pain to; 'This exercise will hurt your back'
00064889	0	cause to feel unwell; 'She was indisposed'
00065070	0	feel pain or be in pain
00065370	0	suffer from; be ill with; 'She has arthritis'
00065495	0	be healthy; feel good; 'She has not been well lately'
00065639	0	undergo (as of injuries and illnesses); 'She suffered a fracture in the accident'; 'He had an insulin shock after eating three candy bars'; 'She got a bruise on her leg'; 'He got his arm broken in the scuffle'
00066025	0	cry weakly or softly; 'she wailed with pain'
00066191	0	shed tears because of sadness, rage, or pain; 'She cried bitterly when she heard the news of his death'; 'The girl in the wheelchair wept with frustration when she could not get up the stairs'
00066685	0	bring into a particular state by crying; 'The little boy cried himself to sleep'
00066862	0	cry loudly; 'Don't bawl in public!'
00066977	0	fill with tears or shed tears; 'Her eyes were tearing'
00067129	0	weep convulsively; 'He was sobbing inconsolably'
00067274	0	cry or whine with snuffling; 'Stop snivelling--you got yourself into this mess!'
00067545	0	excrete perspiration through the pores in the skin; 'Exercise makes one sweat'
00067850	0	conceive when a fetus is already present in the uterus
00067999	0	release (a liquid) in drops or small quantities; 'exude sweat through the pores'
00068467	0	give off (a liquid); 'The doctor distilled a few drops of disinfectant onto the wound'
00068627	0	be wet with sweat or blood, as of one's face
00068740	0	give off (water) through the skin
00068858	0	geology: cause molten material, such as lava, to pour forth
00069012	0	exude profusely; 'She was streaming with sweat'; 'His nose streamed blood'
00069166	0	exude or form gum; 'these trees gum in the Spring'
00069295	0	generate and separate from cells or bodily fluids; 'secrete digestive juices'; 'release a hormone into the blood stream'
00069570	0	secrete or form water, as tears or saliva; 'My mouth watered at the prospect of a good dinner'; 'His eyes watered'
00069747	0	suffer from intense heat; 'we were sweltering at the beach'
00069879	0	cause injuries or bodily harm to
00070439	0	injure by trampling or as if by trampling; 'The passerby was trampled by an elephant'
00070633	0	injure the brain; sustain a concussion
00070736	0	injure with a calk
00070816	0	cause bodily suffering to and make sick or indisposed
00071037	0	not be very easily digestible; 'Spicy food disagrees with some people'
00071178	0	subject to torture; 'The sinners will be tormented in Hell, according to the Bible'
00071547	0	torture on the rack
00071646	0	torture and torment like a martyr
00071803	0	strain abnormally; 'I pulled a muscle in my leg when I jumped up'; 'The athlete pulled a tendon in the competition'
00072012	0	eliminate urine; 'Again, the cat had made on the expensive rug'
00072586	0	pass after the manner of urine; 'The sick men urinated blood'
00072730	0	make one's bed or clothes wet by urinating; 'This eight year old boy still wets his bed'
00072897	0	urinate, of cattle and horses
00072989	0	eliminate from the body; 'Pass a kidney stone'
00073343	0	excrete or discharge from the body
00073584	0	empty or clean (a body cavity) by the force of suction; 'suction the uterus in an abortion'
00073813	0	excrete or evacuate (someone's bowels or body); 'The doctor decided that the patient must be purged'
00074038	0	have a bowel movement; 'The dog had made in the flower beds'
00074453	0	defecate; used of animals
00074558	0	cause to be constipated; 'These foods tend to constipate you'
00074730	0	constipate severely
00074834	0	lose blood from one's body
00075021	0	exhaust or get tired through overuse or great strain or stress; 'We wore ourselves out on this hike'
00075421	0	wear out completely; 'This kind of work exhausts me'; 'I'm beat'; 'He was all washed up after the exam'
00075708	0	exhaust physically or emotionally; 'She was frazzled after the visit of her in-laws'
00075875	0	exhaust by allowing to pull on the line; 'play a hooked fish'
00075998	0	tire excessively
00076114	0	lose interest or become bored with something or somebody; 'I'm so tired of your mother and her complaints about my food'
00076400	0	eject the contents of the stomach through the mouth; 'After drinking too much, the students vomited'; 'He purged continuously'; 'The patient regurgitated the food we gave him last night'
00077071	0	eject or send out in large quantities, also metaphorical; 'the volcano spews out molten rocks every day'; 'The editors of the paper spew out hostile articles about the Presidential candidate'
00077369	0	manage not to throw up
00077458	0	make an unsuccessful effort to vomit; strain to vomit
00077606	0	cause to retch or choke
00077698	0	struggle for breath; have insufficient oxygen intake; 'he swallowed a fishbone and gagged'
00077950	0	constrict (someone's) throat and keep from breathing
00078138	0	be cold; 'I could freeze to death in this office when the air conditioning is turned on'
00078316	0	be uncomfortably hot
00078401	0	feel unwell or uncomfortable; 'She is suffering from the hot weather'
00078578	0	grind together, of teeth
00078665	0	be ill or unwell
00078760	0	provide treatment for; 'The doctor treated my broken leg'; 'The nurses cared for the bomb victims'; 'The patient must be treated right away or she will die'; 'Treat the infection with antibiotics'
00079470	0	treat a defect; 'The new contact lenses will correct for his myopia'
00079629	0	treat by blowing a powder or vapor into a bodily cavity
00079788	0	treat for alcohol or drug dependence; 'He was detoxified in the clinic'
00079951	0	supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting; 'irrigate the wound'
